tgrac_fid,tgrac_assembly_name,tgrac_pre2016_district,tgrac_parliament,canonical_ac_id,canonical_ac_no,canonical_ac_name,canonical_code,canonical_reservation,match_method,evidence_rationale
0,"Bellampalle (Sc)","ADILABAD","PEDDAPALLE (SC)",TS-AC-3,3,"Bellampalli",TS-AC-003,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
1,"Boath (St)","ADILABAD","ADILABAD (ST)",TS-AC-8,8,"Boath",TS-AC-008,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
2,"Chennur (Sc)","ADILABAD","PEDDAPALLE (SC)",TS-AC-2,2,"Chennur",TS-AC-002,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
3,"Khanapur (St)","ADILABAD","ADILABAD (ST)",TS-AC-6,6,"Khanapur",TS-AC-006,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
4,"Mancherial","ADILABAD","PEDDAPALLE (SC)",TS-AC-4,4,"Mancherial",TS-AC-004,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
5,"Mudhole","ADILABAD","ADILABAD (ST)",TS-AC-10,10,"Mudhole",TS-AC-010,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
6,"Nirmal","ADILABAD","ADILABAD (ST)",TS-AC-9,9,"Nirmal",TS-AC-009,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
7,"Sirpur","ADILABAD","ADILABAD (ST)",TS-AC-1,1,"Sirpur",TS-AC-001,ST,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
8,"Khairatabad","HYDERABAD","SECUNDERABAD",TS-AC-60,60,"Khairatabad",TS-AC-060,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
9,"Secunderabad Cont (Sc)","HYDERABAD","SECUNDERABAD",TS-AC-71,71,"Secunderabad Cantonment",TS-AC-071,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
10,"Amberpet","HYDERABAD","SECUNDERABAD",TS-AC-59,59,"Amberpet",TS-AC-059,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
11,"Goshamahal","HYDERABAD","HYDERABAD",TS-AC-65,65,"Goshamahal",TS-AC-065,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
12,"Yakutpura","HYDERABAD","HYDERABAD",TS-AC-68,68,"Yakutpura",TS-AC-068,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
13,"Chandrayangutta","HYDERABAD","HYDERABAD",TS-AC-67,67,"Chandrayangutta",TS-AC-067,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
14,"Bahadurpura","HYDERABAD","HYDERABAD",TS-AC-69,69,"Bahadurpura",TS-AC-069,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
15,"Karwan","HYDERABAD","HYDERABAD",TS-AC-64,64,"Karwan",TS-AC-064,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
16,"Nampally","HYDERABAD","SECUNDERABAD",TS-AC-63,63,"Nampally",TS-AC-063,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
17,"Musheerabad","HYDERABAD","SECUNDERABAD",TS-AC-57,57,"Musheerabad",TS-AC-057,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
18,"Choppadandi (Sc)","KARIMNAGAR","KARIMNAGAR",TS-AC-27,27,"Choppadandi",TS-AC-027,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
