tgrac_fid,tgrac_dist_name,canonical_district_id,canonical_code,canonical_name,match_method,temporal_regime,evidence_rationale
0,"Bhadradri Kothagudem",fc6f0582-4be7-4b6d-a086-9ec7afad239a,TS-DIST-BHADRADRI-KOTHAGUDEM,"Bhadradri Kothagudem",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
1,"Jagtial",a5d91288-6c82-4799-9933-f39f0e2b3775,TS-DIST-JAGTIAL,"Jagtial",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
2,"Jangoan",9bb08c1d-b62b-491a-89f5-0efdd5e9de5c,TS-DIST-JANGAON,"Jangaon",DOCUMENTED_AUTHORITY_MAPPING,2019-2021_INTERMEDIATE_REGIME,"Documented spelling / hyphenation variation in state notifications"
3,"Mulugu",a199a715-e9a8-4c9c-8aab-ea4d993d0fd1,TS-DIST-MULUGU,"Mulugu",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
4,"Kamareddy",6cfdf110-35ac-4d5f-8c7a-0c4704c77eed,TS-DIST-KAMAREDDY,"Kamareddy",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
5,"Karimnagar",6d00c3e4-91b9-4ecc-b7fe-c75940ed9d5c,TS-DIST-KARIMNAGAR,"Karimnagar",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
6,"Khammam",8fdb8d01-e74e-4070-b0ef-b4d83ce96dab,TS-DIST-KHAMMAM,"Khammam",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
7,"Mahabubabad",3b1d1d54-fa62-4528-89d8-f6c4e4044dfb,TS-DIST-MAHABUBABAD,"Mahabubabad",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
8,"Mancherial",fad43018-7df9-4fac-bb3e-fd9e6ed45bb8,TS-DIST-MANCHERIAL,"Mancherial",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
9,"Medak",366272d6-192c-4b9d-bed4-11d26cefdd78,TS-DIST-MEDAK,"Medak",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
10,"Nagarkurnool",c9e712f5-d57f-4432-8ebb-550496ee5898,TS-DIST-NAGARKURNOOL,"Nagarkurnool",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
11,"Nalgonda",078b1c82-2807-4bcc-b264-604c36aa8444,TS-DIST-NALGONDA,"Nalgonda",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
12,"Nirmal",e6cd415d-1aae-432e-89d3-9d74af8863e3,TS-DIST-NIRMAL,"Nirmal",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
13,"Nizamabad",20408904-878d-4d5a-8f6f-d70ba8a814ad,TS-DIST-NIZAMABAD,"Nizamabad",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
14,"Peddapalli",3bc217b6-99fd-42fb-a536-e5298d17ed29,TS-DIST-PEDDAPALLI,"Peddapalli",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
