TGRAC FID,TGRAC Name,TGRAC District,Current LGD Code,Current LGD Name,Census 2011,Temporal Classification,Historical Identity,Match Method,Evidence,Status
0,Addagudur,Yadadri Bhuvanagiri,6310,Adda Guduru,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Official LGD spelling Adda Guduru (LGD 6310),RESOLVED_DETERMINISTIC
1,Adilabad Urban,Adilabad,4306,Adilabad Urban,04306,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Adilabad (LGD subdist_code 4306),RESOLVED_DIRECT
2,Adilabad Rural,Adilabad,6221,Adilabad Rural,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Adilabad (LGD subdist_code 6221),RESOLVED_DIRECT
3,Aiza,Jogulamba Gadwal,4606,Ieeja,04606,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Official LGD name Ieeja (LGD 4606),RESOLVED_DETERMINISTIC
4,Akkannapet,Siddipet,6285,Akkannapet,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Siddipet (LGD subdist_code 6285),RESOLVED_DIRECT
5,Alair,Yadadri Bhuvanagiri,4617,Alair,04617,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Yadadri Bhuvanagiri (LGD subdist_code 4617),RESOLVED_DIRECT
6,Alampur,Jogulamba Gadwal,4612,Alampur,04612,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Jogulamba Gadwal (LGD subdist_code 4612),RESOLVED_DIRECT
7,Alladurg,Medak,4470,Alladurg,04470,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medak (LGD subdist_code 4470),RESOLVED_DIRECT
8,Allapalli,Bhadradri Kothagudem,6267,Allapalli,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Bhadradri Kothagudem (LGD subdist_code 6267),RESOLVED_DIRECT
9,Alwal,Medchal_Malkajgiri,6328,Alwal,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Medchal Malkajgiri (LGD subdist_code 6328),RESOLVED_DIRECT
10,Asifnagar,Hyderabad,4506,Asif Nagar,04506,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hyderabad (LGD subdist_code 4506),RESOLVED_DIRECT
11,Bhongiri,Yadadri Bhuvanagiri,4628,Bhongir,04628,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_TRANSLITERATION_MAP,Official LGD name Bhongir (LGD 4628),RESOLVED_DETERMINISTIC
12,Sirpur_T,Kumurambheem Asifabad,4315,Sirpur (T),04315,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXPLICIT_ALIAS_LINEAGE,"Sirpur (T) town mandal (LGD 4315), distinguished from rural Sirpur U (4326)",RESOLVED_LEGAL_LINEAGE
13,Amangal,Rangareddy,4563,Amangal,04563,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Ranga Reddy (LGD subdist_code 4563),RESOLVED_DIRECT
14,Amarchintha,Wanaparthy,6290,Amarchintha,00000,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Wanaparthy (LGD subdist_code 6290),RESOLVED_DIRECT
15,Amberpet,Hyderabad,4502,Amberpet,04502,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Hyderabad (LGD subdist_code 4502),RESOLVED_DIRECT
16,Sirpur_U,Kumurambheem Asifabad,4326,Sirpur U,04326,HISTORICAL_2016_BASELINE,ESTABLISHED_OCT_2016_REORGANISATION,EXACT_NORMALIZED_NAME_DISTRICT,Bitwise normalized match in district Kumuram Bheem Asifabad (LGD subdist_code 4326),RESOLVED_DIRECT
