Stable Mandal,Version,Valid From,Valid To,Current,Parent,Successor,Dataset,Legal Evidence
TS-MDL-6310,TS-MDL-6310-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6310,TS-MDL-6310-V2,2022-09-26,,true,Predecessor Version TS-MDL-6310-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4306,TS-MDL-4306-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4306,TS-MDL-4306-V2,2022-09-26,,true,Predecessor Version TS-MDL-4306-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6221,TS-MDL-6221-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6221,TS-MDL-6221-V2,2022-09-26,,true,Predecessor Version TS-MDL-6221-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4606,TS-MDL-4606-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4606,TS-MDL-4606-V2,2022-09-26,,true,Predecessor Version TS-MDL-4606-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6285,TS-MDL-6285-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6285,TS-MDL-6285-V2,2022-09-26,,true,Predecessor Version TS-MDL-6285-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4617,TS-MDL-4617-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4617,TS-MDL-4617-V2,2022-09-26,,true,Predecessor Version TS-MDL-4617-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4612,TS-MDL-4612-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4612,TS-MDL-4612-V2,2022-09-26,,true,Predecessor Version TS-MDL-4612-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4470,TS-MDL-4470-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4470,TS-MDL-4470-V2,2022-09-26,,true,Predecessor Version TS-MDL-4470-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6267,TS-MDL-6267-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6267,TS-MDL-6267-V2,2022-09-26,,true,Predecessor Version TS-MDL-6267-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6328,TS-MDL-6328-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6328,TS-MDL-6328-V2,2022-09-26,,true,Predecessor Version TS-MDL-6328-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4506,TS-MDL-4506-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4506,TS-MDL-4506-V2,2022-09-26,,true,Predecessor Version TS-MDL-4506-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4628,TS-MDL-4628-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4628,TS-MDL-4628-V2,2022-09-26,,true,Predecessor Version TS-MDL-4628-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4315,TS-MDL-4315-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4315,TS-MDL-4315-V2,2022-09-26,,true,Predecessor Version TS-MDL-4315-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4563,TS-MDL-4563-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4563,TS-MDL-4563-V2,2022-09-26,,true,Predecessor Version TS-MDL-4563-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6290,TS-MDL-6290-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6290,TS-MDL-6290-V2,2022-09-26,,true,Predecessor Version TS-MDL-6290-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4502,TS-MDL-4502-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4502,TS-MDL-4502-V2,2022-09-26,,true,Predecessor Version TS-MDL-4502-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4326,TS-MDL-4326-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4326,TS-MDL-4326-V2,2022-09-26,,true,Predecessor Version TS-MDL-4326-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4508,TS-MDL-4508-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4508,TS-MDL-4508-V2,2022-09-26,,true,Predecessor Version TS-MDL-4508-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4557,TS-MDL-4557-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4557,TS-MDL-4557-V2,2022-09-26,,true,Predecessor Version TS-MDL-4557-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6302,TS-MDL-6302-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6302,TS-MDL-6302-V2,2022-09-26,,true,Predecessor Version TS-MDL-6302-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4479,TS-MDL-4479-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4479,TS-MDL-4479-V2,2022-09-26,,true,Predecessor Version TS-MDL-4479-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4749,TS-MDL-4749-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4749,TS-MDL-4749-V2,2022-09-26,,true,Predecessor Version TS-MDL-4749-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4626,TS-MDL-4626-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4626,TS-MDL-4626-V2,2022-09-26,,true,Predecessor Version TS-MDL-4626-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4694,TS-MDL-4694-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4694,TS-MDL-4694-V2,2022-09-26,,true,Predecessor Version TS-MDL-4694-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4622,TS-MDL-4622-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4622,TS-MDL-4622-V2,2022-09-26,,true,Predecessor Version TS-MDL-4622-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4592,TS-MDL-4592-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4592,TS-MDL-4592-V2,2022-09-26,,true,Predecessor Version TS-MDL-4592-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4630,TS-MDL-4630-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4630,TS-MDL-4630-V2,2022-09-26,,true,Predecessor Version TS-MDL-4630-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4517,TS-MDL-4517-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4517,TS-MDL-4517-V2,2022-09-26,,true,Predecessor Version TS-MDL-4517-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
