TGRAC FID,Historical Mandal ID,Version Code,TGRAC Name,Current LGD Name,TGRAC District,LGD Code,Census 2011,Legal valid_from,Legal valid_to,Timeline Status,Geometry Snapshot Date,Geometry Semantic,Predecessor Lineage,Successor(s) Lineage,Lineage Notes,W014 is_current,Primary Dataset Version ID
0,TS-MDL-6310,TS-MDL-6310-V1,Addagudur,Adda Guduru,Yadadri Bhuvanagiri,6310,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
1,TS-MDL-4306,TS-MDL-4306-V1,Adilabad Urban,Adilabad Urban,Adilabad,4306,04306,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
2,TS-MDL-6221,TS-MDL-6221-V1,Adilabad Rural,Adilabad Rural,Adilabad,6221,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
3,TS-MDL-4606,TS-MDL-4606-V1,Aiza,Ieeja,Jogulamba Gadwal,4606,04606,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
4,TS-MDL-6285,TS-MDL-6285-V1,Akkannapet,Akkannapet,Siddipet,6285,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
5,TS-MDL-4617,TS-MDL-4617-V1,Alair,Alair,Yadadri Bhuvanagiri,4617,04617,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
6,TS-MDL-4612,TS-MDL-4612-V1,Alampur,Alampur,Jogulamba Gadwal,4612,04612,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
7,TS-MDL-4470,TS-MDL-4470-V1,Alladurg,Alladurg,Medak,4470,04470,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
8,TS-MDL-6267,TS-MDL-6267-V1,Allapalli,Allapalli,Bhadradri Kothagudem,6267,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
9,TS-MDL-6328,TS-MDL-6328-V1,Alwal,Alwal,Medchal_Malkajgiri,6328,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
10,TS-MDL-4506,TS-MDL-4506-V1,Asifnagar,Asif Nagar,Hyderabad,4506,04506,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
11,TS-MDL-4628,TS-MDL-4628-V1,Bhongiri,Bhongir,Yadadri Bhuvanagiri,4628,04628,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
12,TS-MDL-4315,TS-MDL-4315-V1,Sirpur_T,Sirpur (T),Kumurambheem Asifabad,4315,04315,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
13,TS-MDL-4563,TS-MDL-4563-V1,Amangal,Amangal,Rangareddy,4563,04563,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
14,TS-MDL-6290,TS-MDL-6290-V1,Amarchintha,Amarchintha,Wanaparthy,6290,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
15,TS-MDL-4502,TS-MDL-4502-V1,Amberpet,Amberpet,Hyderabad,4502,04502,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
