ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
1,Behat,Saharanpur,GEN,Umar Ali Khan,SP,134513,37880,Naresh Saini,BJP
2,Nakur,Saharanpur,GEN,Mukesh Choudhary,BJP,104114,315,Dharam Singh Saini,SP
3,Saharanpur Nagar,Saharanpur,GEN,Rajiv Gumber,BJP,143195,7434,Sanjay Garg,SP
4,Saharanpur,Saharanpur,GEN,Ashu Malik,SP,107007,30745,Jagpal Singh,BJP
5,Deoband,Saharanpur,GEN,Th. Brijesh Singh,BJP,93890,7104,Kartikeya Rana,SP
6,Rampur Maniharan,Saharanpur,SC,Devendra Kumar Nim,BJP,89109,20593,Ravinder Kumar Molhu,BSP
7,Gangoh,Saharanpur,GEN,Kirat Singh,BJP,116582,23449,Inder Sain,SP
8,Kairana,Shamli,GEN,Nahid Hasan,SP,131035,25887,Mriganka Singh,BJP
9,Thana Bhawan,Shamli,GEN,Ashraf Ali Khan,RLD,103751,10806,Suresh Rana,BJP
10,Shamli,Shamli,GEN,Persann Kumar Chaudhary,RLD,103070,7107,Tejendra Nirwal,BJP
11,Budhana,Muzaffarnagar,GEN,Rajpal Singh Baliyan,RLD,131093,28310,Umesh Malik,BJP
12,Charthawal,Muzaffarnagar,GEN,Pankaj Kumar Malik,SP,97363,5334,Sapna Kashyap,BJP
13,Purqazi,Muzaffarnagar,SC,Anil Kumar,RLD,92672,6532,Pramod Utwal,BJP
14,Muzaffarnagar,Muzaffarnagar,GEN,Kapil Dev Aggarwal,BJP,111794,18694,Saurabh Swaroop,RLD
15,Khatauli,Muzaffarnagar,GEN,Vikram Singh Saini,BJP,100651,16345,Rajpal Singh Saini,RLD
16,Meerapur,Muzaffarnagar,GEN,Chandan Chauhan,RLD,107421,27380,Prashant Chaudhary,BJP
17,Najibabad,Bijnor,GEN,Tasleem Ahmad,SP,102675,23770,Kunwar Bharatendu Singh,BJP
18,Nagina,Bijnor,SC,Manoj Kumar Paras,SP,97155,26451,Dr. Yashwant,BJP
19,Barhapur,Bijnor,GEN,Kunwar Sushant Singh,BJP,100100,14345,Kapil Kumar,SP
20,Dhampur,Bijnor,GEN,Ashok Kumar Rana,BJP,81791,203,Naeemul Hasan,SP
21,Nehtaur,Bijnor,SC,Om Kumar,BJP,77935,258,Munshi Ram,RLD
22,Bijnor,Bijnor,GEN,Suchi Chaudhary,BJP,97165,1445,Neeraj Chaudhary,RLD
23,Chandpur,Bijnor,GEN,Swami Omvesh,SP,90522,234,Kamlesh Saini,BJP
24,Noorpur,Bijnor,GEN,Ram Avatar Singh,SP,92574,6065,Chandra Prakash Singh,BJP
25,Kanth,Moradabad,GEN,Kamal Akhtar,SP,134692,43178,Rajesh Kumar Singh,BJP
26,Thakurdwara,Moradabad,GEN,Nawab Jan,SP,134391,19684,Ajay Pratap Singh,BJP
27,Moradabad Rural,Moradabad,GEN,Mohd Nasir Qureshi,SP,114337,27820,Krishnakant Mishra,BJP
28,Moradabad Nagar,Moradabad,GEN,Ritesh Kumar Gupta,BJP,148384,782,Mohd Yusuf Ansari,SP
29,Kundarki,Moradabad,GEN,Zia ur Rahman Barq,SP,125792,43162,Kamal Prajapati,BJP
30,Bilari,Moradabad,GEN,Mohammed Faeem,SP,95338,7610,Parmeshwar Lal Saini,BJP
31,Chandausi,Sambhal,SC,Gulabo Devi,BJP,112890,35367,Vimlesh Kumar,SP
32,Asmoli,Sambhal,GEN,Pinki Singh Yadav,SP,111652,25206,Harendra Kumar,BJP
33,Sambhal,Sambhal,GEN,Iqbal Mehmood,SP,107073,41697,Rajesh Singhal,BJP
34,Suar,Rampur,GEN,Abdullah Azam Khan,SP,126162,61103,AD(S),AD(S)
35,Chamraua,Rampur,GEN,Naseer Ahmad Khan,SP,100976,34290,Mohan Kumar Lodhi,BJP
36,Bilaspur,Rampur,GEN,Baldev Singh Aulakh,BJP,101998,307,Amarjit Singh,SP
37,Rampur,Rampur,GEN,Azam Khan,SP,131225,55141,Akash Saxena,BJP
38,Milak,Rampur,SC,Rajbala,BJP,97948,5912,Vijay Singh,SP
39,Dhanaura,Amroha,SC,Rajeev Tarara,BJP,103054,11425,Vivek Singh,SP
40,Naugawan Sadat,Amroha,GEN,Samarpal Singh,SP,108497,6540,Devender Nagpal,BJP
41,Amroha,Amroha,GEN,Mehboob Ali,SP,128735,71036,Ram Singh,BJP
42,Hasanpur,Amroha,GEN,Mahender Singh Khadakvanshi,BJP,120135,22382,Mukhya Gurjar,SP
43,Siwalkhas,Meerut,GEN,Ghulam Mohammed,RLD,101749,9182,Maninder Pal,BJP
44,Sardhana,Meerut,GEN,Atul Pradhan,SP,118573,18200,Sangeet Som,BJP
45,Hastinapur,Meerut,SC,Dinesh Khatik,BJP,107587,7312,Yogesh Verma,SP
46,Kithore,Meerut,GEN,Shahid Manzoor,SP,107104,2180,Satyavir Tyagi,BJP
47,Meerut Cantt,Meerut,GEN,Amit Agrawal,BJP,162032,118072,Manisha Ahlawat,RLD
48,Meerut,Meerut,GEN,Rafiq Ansari,SP,106395,26065,Kamal Dutt Sharma,BJP
49,Meerut South,Meerut,GEN,Somendra Tomar,BJP,129667,7942,Md Adil,SP
50,Chhaprauli,Baghpat,GEN,Ajay Kumar,RLD,111880,29508,Sahender Singh,BJP
51,Baraut,Baghpat,GEN,Krishnapal Malik,BJP,90931,315,Chaudhary Jaiveer Singh Tomar,RLD
52,Baghpat,Baghpat,GEN,Chaudhary Yogesh Dhama,BJP,101420,6733,Mohd Ahmed Hameed,RLD
53,Loni,Ghaziabad,GEN,Nand Kishor Gurjar,BJP,127410,8676,Madan Bhaiya,RLD
54,Muradnagar,Ghaziabad,GEN,Ajit Pal Tyagi,BJP,169290,97095,Surendra Kumar,RLD
55,Sahibabad,Ghaziabad,GEN,Sunil Kumar Sharma,BJP,322882,214835,Amarpal Sharma,SP
56,Ghaziabad,Ghaziabad,GEN,Atul Garg,BJP,150205,105537,Vishal Verma,SP
57,Modinagar,Ghaziabad,GEN,Manju Shiwach,BJP,113349,34619,Sudesh Sharma,RLD
58,Dhaulana,Hapur,GEN,Dharmesh Singh Tomar,BJP,125028,12628,Aslam Ali,SP
59,Hapur,Hapur,SC,Vijay Pal Aadthi,BJP,97862,7034,Gajraj Singh,RLD
60,Garhmukteshwar,Hapur,GEN,Harendra Singh Tewatia,BJP,104113,26306,Ravindra Chaudhary,SP
