ac_no,constituency,district,type,winner_name,winner_party,winner_votes,margin,runner_name,runner_party
1,Mekliganj,Cooch Behar,SC,Paresh Chandra Adhikary,AITC,99338,14685,Dadhiram Ray,BJP
2,Mathabhanga,Cooch Behar,SC,Sushil Barman,BJP,113249,26134,Girindra Nath Barman,AITC
3,Cooch Behar Uttar,Cooch Behar,SC,Sukumar Roy,BJP,120483,14615,Binay Krishna Barman,AITC
4,Cooch Behar Dakshin,Cooch Behar,GEN,Nikhil Ranjan Dey,BJP,96629,4799,Avijit De Bhowmik,AITC
5,Sitalkuchi,Cooch Behar,SC,Baren Chandra Barman,BJP,124955,17815,Partha Pratim Ray,AITC
6,Sitai,Cooch Behar,SC,Jagadish Chandra Barma Basunia,AITC,117908,10112,Dipak Kumar Roy,BJP
7,Dinhata,Cooch Behar,GEN,Nisith Pramanik,BJP,116035,57,Udayan Guha,AITC
8,Natabari,Cooch Behar,GEN,Mihir Goswami,BJP,111743,23440,Rabindra Nath Ghosh,AITC
9,Tufanganj,Cooch Behar,GEN,Malati Rava Roy,BJP,114503,31198,Pranab Kumar Dey,AITC
10,Kumargram,Alipurduar,ST,Manoj Kumar Oraon,BJP,111974,11001,Leos Kujar,AITC
11,Kalchini,Alipurduar,ST,Bishal Lama,BJP,103104,28576,Pasang Lama,AITC
12,Alipurduars,Alipurduar,GEN,Suman Kanjilal,BJP,107333,16007,Sourav Chakraborty,AITC
13,Falakata,Alipurduar,GEN,Dipak Barman,BJP,102993,3990,Subhash Chanda Roy,AITC
14,Madarihat,Alipurduar,GEN,Manoj Tigga,BJP,90718,29685,Rajesh Lakra,AITC
15,Dhupguri,Jalpaiguri,SC,Bishnu Pada Ray,BJP,104688,4355,Mitali Roy,AITC
16,Maynaguri,Jalpaiguri,SC,Kaushik Roy,BJP,115306,11911,Manoj Roy,AITC
17,Jalpaiguri,Jalpaiguri,SC,Pradip Kumar Barma,AITC,95668,941,Sujit Singha,BJP
18,Rajganj,Jalpaiguri,SC,Khageswar Roy,AITC,104641,15773,Supen Roy,BJP
19,Dabgram-Phulbari,Jalpaiguri,GEN,Sikha Chatteree,BJP,129088,27593,Goutam Deb,AITC
20,Mal,Jalpaiguri,ST,Bulu Chik Baraik,AITC,99086,5465,Mahesh Bagey,BJP
21,Nagrakata,Jalpaiguri,ST,Puna Bhengra,BJP,70945,14402,Joseph Munda,AITC
23,Darjeeling,Darjeeling,GEN,Neeraj Zimba,BJP,68907,21726,Keshav Raj Sharma,
24,Kurseong,Darjeeling,GEN,Bishnu Prasad Sharma,BJP,73475,15515,Tshering Lama Dahal,
25,Matigara-Naxalbari,Darjeeling,SC,Anandamoy Barman,BJP,139785,71331,Rajen Sundas,AITC
26,Siliguri,Darjeeling,GEN,Shankar Ghosh,BJP,89370,35586,Om Prakash Mishra,AITC
27,Phansidewa,Darjeeling,ST,Durga Murmu,BJP,105651,27711,Choton Kisku,AITC
28,Chopra,Uttar Dinajpur,GEN,Hamidul Rahaman,AITC,124923,65319,Md. Shahin Akhtar,BJP
29,Islampur,Uttar Dinajpur,GEN,Abdul Karim Chowdhury,AITC,100131,37440,Saumya Roop Mandal,BJP
30,Goalpokhar,Uttar Dinajpur,GEN,Md. Ghulam Rabbani,AITC,105649,73514,Gulam Sarwar,BJP
31,Chakulia,Uttar Dinajpur,GEN,Minhajul Arfin Azad,AITC,86311,33837,Sachin Prasad,BJP
32,Karandighi,Uttar Dinajpur,GEN,Goutam Pal,AITC,116594,36626,Subhash Singha,BJP
33,Hemtabad,Uttar Dinajpur,SC,Satyajit Burman,AITC,116425,27215,Chandima Roy,BJP
34,Kaliaganj,Uttar Dinajpur,SC,Soumen Roy,BJP,116768,21820,Tapan Dev Singha,AITC
35,Raiganj,Uttar Dinajpur,GEN,Krishna Kalyani,BJP,79775,20748,Kanaia Lal Agarwal,AITC
36,Itahar,Uttar Dinajpur,GEN,Mosaraf Hossain,AITC,114645,43975,Amit Kumar Kundu,BJP
37,Kushmandi,Dakshin Dinajpur,SC,Rekha Roy,AITC,89968,12584,Ranjit Kumar Roy,BJP
38,Kumarganj,Dakshin Dinajpur,GEN,Toraf Hossain Mondal,AITC,89117,29381,Manas Sarkar,BJP
39,Balurghat,Dakshin Dinajpur,GEN,Ashok Lahiri,BJP,70484,12899,Sekhar Dasgupta,AITC
40,Tapan,Dakshin Dinajpur,ST,Budhrai Tudu,BJP,84381,1650,Kalpana Kisku,AITC
41,Gangarampur,Dakshin Dinajpur,SC,Satyendra Nath Ray,BJP,88724,4592,Goutam Das,AITC
42,Harirampur,Dakshin Dinajpur,GEN,Biplab Mitra,AITC,96131,22672,Nilanjan Roy,BJP
43,Habibpur,Malda,ST,Joyel Murmu,BJP,94075,19517,Prodip Baskey,AITC
44,Gazole,Malda,SC,Chinmoy Deb Barman,BJP,100655,1798,Basanti Barman,AITC
45,Chanchal,Malda,GEN,Nihar Ranjan Ghosh,AITC,115966,67338,Dipankar Ram,BJP
46,Harishchandrapur,Malda,GEN,Tajmul Hossain,AITC,122527,77473,Matibur Rahaman,BJP
47,Malatipur,Malda,GEN,Abdur Rahim Boxi,AITC,126157,91949,Mousumi Das,BJP
48,Ratua,Malda,GEN,Samar Mukherjee,AITC,130674,75650,Abhishek Singhania,BJP
49,Manikchak,Malda,GEN,Sabitri Mitra,AITC,110234,33878,Gour Chandra Mandal,BJP
50,Maldaha,Malda,GEN,Gopal Chandra Saha,BJP,93398,15456,Ujjwal Kumar Chowdhury,AITC
51,English Bazar,Malda,GEN,Sreerupa Mitra Chaudhury,BJP,107755,20099,Krishnendu Narayan Choudhury,AITC
52,Mothabari,Malda,GEN,Yeasmin Sabina,AITC,97397,56573,Shyamchand Ghosh,BJP
53,Sujapur,Malda,GEN,Md. Abdul Ghani,AITC,152445,130163,Isha Khan Choudhury,INC
54,Baisnabnagar,Malda,GEN,Chandana Sarkar,AITC,83061,2471,Swadhin Kumar Sarkar,BJP
55,Farakka,Murshidabad,GEN,Manirul Islam,AITC,102319,59945,Hemanta Ghosh,BJP
56,Samserganj,Murshidabad,GEN,Amirul Islam,AITC,96417,26379,Zaidur Rahaman,INC
57,Suti,Murshidabad,GEN,Emani Biswas,AITC,127351,70701,Koushik Das,BJP
58,Jangipur,Murshidabad,GEN,Jakir Hossain,AITC,136444,92480,Sujit Das,BJP
59,Raghunathganj,Murshidabad,GEN,Akhruzzaman,AITC,126834,98313,Golam Modaswer,BJP
60,Sagardighi,Murshidabad,GEN,Subrata Saha,AITC,95189,50206,Mafuja Khatun,BJP
61,Lalgola,Murshidabad,GEN,Mohammad Ali,AITC,107860,60707,Abu Hena,INC
62,Bhagabangola,Murshidabad,GEN,Idris Ali,AITC,153795,106008,Md Kamal Hossain,CPI(M)
63,Raninagar,Murshidabad,GEN,Abdul Soumik Hossain,AITC,134957,79702,Firoza Begam,INC
64,Murshidabad,Murshidabad,GEN,Gouri Shankar Ghosh,BJP,95967,2491,Shaoni Singha Roy,AITC
65,Nabagram,Murshidabad,SC,Kanai Chandra Mondal,AITC,100455,35533,Mohan Halder,BJP
66,Khargram,Murshidabad,SC,Ashis Marjit,AITC,93255,32573,Aditya Moulik,BJP
67,Burwan,Murshidabad,SC,Jiban Krishna Saha,AITC,81890,2749,Amiya Kumar Das,BJP
68,Kandi,Murshidabad,GEN,Apurba Sarkar,AITC,95399,38080,Goutam Roy,BJP
69,Bharatpur,Murshidabad,GEN,Humayun Kabir,AITC,96226,43083,Iman Kalyan Mukherjee,BJP
70,Rejinagar,Murshidabad,GEN,Rabiul Alam Chowdhury,AITC,118494,68268,Arabinda Biswas,BJP
71,Beldanga,Murshidabad,GEN,SK Hasanuzzaman,AITC,112862,53832,Sumit Ghosh,BJP
72,Baharampur,Murshidabad,GEN,Subrata Maitra,BJP,89340,26852,Naru Gopal Mukherjee,AITC
73,Hariharpara,Murshidabad,GEN,Niamot Sheikh,AITC,102660,14066,Mir Alamgir,INC
74,Naoda,Murshidabad,GEN,Sahina Momtaz Khan,AITC,117684,74153,Anupam Mandal,BJP
75,Domkal,Murshidabad,GEN,Jafikul Islam,AITC,127671,47229,Md Mostafizur Rahaman,CPI(M)
76,Jalangi,Murshidabad,GEN,Abdur Razzak,AITC,123840,79276,Saiful Islam Molla,CPI(M)
77,Karimpur,Nadia,GEN,Bimlendu Sinha Roy,AITC,110911,23575,Samarendra Nath Ghosh,BJP
78,Tehatta,Nadia,GEN,Tapas Kumar Saha,AITC,97848,6915,Ashutosh Paul,BJP
79,Palashipara,Nadia,GEN,Dr. Manik Bhattacharya,AITC,110274,51336,Bibhash Chandra Mandal,BJP
80,Kaliganj,Nadia,GEN,Nasiruddin Ahamed,AITC,111696,46987,Abhijit Ghosh,BJP
81,Nakashipara,Nadia,GEN,Kallol Khan,AITC,104812,21271,Santanu Dey,BJP
82,Chapra,Nadia,GEN,Rukbanur Rahman,AITC,73866,12118,Jeber Sekh,IND
83,Krishnanagar Uttar,Nadia,GEN,Mukul Roy,BJP,109357,35089,Koushani Mukherjee,AITC
84,Nabadwip,Nadia,GEN,Pundarikakshya Saha,AITC,102170,18571,Sidhartha Shankar Naskar,BJP
85,Krishnanagar Dakshin,Nadia,GEN,Ujjal Biswas,AITC,91738,9305,Mahadev Sarkar,BJP
86,Santipur,Nadia,GEN,Jagannath Sarkar,BJP,109722,15878,Ajoy Dey,AITC
87,Ranaghat Uttar Paschim,Nadia,GEN,Parthasarathi Chatterjee,BJP,113637,23128,Sankar Singha,AITC
88,Krishnaganj,Nadia,SC,Ashis Kumar Biswas,BJP,117668,21277,Dr. Tapas Mandal,AITC
89,Ranaghat Uttar Purba,Nadia,SC,Ashim Biswas,BJP,116786,31782,Samir Kumar Poddar,AITC
90,Ranaghat Dakshin,Nadia,SC,Mukut Mani Adhikari,BJP,119260,16515,Barnali Dey Roy,AITC
91,Chakdaha,Nadia,GEN,Bankim Chandra Ghosh,BJP,99368,11680,Subhankar Singha,AITC
92,Kalyani,Nadia,SC,Ambika Roy,BJP,97026,2206,Aniruddha Biswas,AITC
93,Haringhata,Nadia,SC,Asim Kumar Sarkar,BJP,97666,15200,Nilima Nag,AITC
94,Bagda,North 24 Parganas,SC,Biswajit Das,BJP,108111,9792,Paritosh Kumar Saha,AITC
95,Bangaon Uttar,North 24 Parganas,SC,Ashok Kirtania,BJP,97761,10488,Shyamal Roy,AITC
96,Bangaon Dakshin,North 24 Parganas,SC,Swapan Majumder,BJP,97828,2004,Alo Rani Sarkar,AITC
97,Gaighata,North 24 Parganas,SC,Subrata Thakur,BJP,100808,9578,Narottam Biswas,AITC
98,Swarupnagar,North 24 Parganas,SC,Bina Mondal,AITC,99784,34800,Brindaban Sarkar,BJP
